model,pred_len,data_id,learning_rate,inner_lr,meta_lr,rec_lambda,auxi_lambda,rank_ratio,lradj,train_epochs,patience,batch_size,auxi_batch_size,warmup_steps,meta_inner_steps,overlap_ratio,num_tasks,max_norm,auxi_loss,first_order,auxi_mode,auxi_type,pca_dim,reinit,use_weights,sample_attn,mse,mae,exp_dir
Fredformer,96,ECL,0.001,0.001,0.1,0.2,0.8,0.5,TST,100,5,32,64,300,1,0.0,3,5.0,MAE,1,basis,pca,T,1,0,0,0.1435462236404419,0.23694077134132385,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ECL_96_0.2_0.8_0.001_0.001_0.1_TST_100_5_32_64_0.5_5.0_3_0.0_1_MAE_1_300_basis_pca_T_1_0_0
Fredformer,96,ECL,0.001,0.001,0.1,0.2,0.8,0.5,TST,100,5,32,64,300,1,0.0,3,5.0,MAE,1,basis,pca,T,1,0,1,0.14406780898571014,0.2369290292263031,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ECL_96_0.2_0.8_0.001_0.001_0.1_TST_100_5_32_64_0.5_5.0_3_0.0_1_MAE_1_300_basis_pca_T_1_0_1
Fredformer,96,ECL,0.001,0.001,0.1,0.2,0.8,0.5,TST,100,5,32,64,500,1,0.0,3,5.0,MAE,1,basis,pca,T,1,0,0,0.14488475024700165,0.23932063579559326,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ECL_96_0.2_0.8_0.001_0.001_0.1_TST_100_5_32_64_0.5_5.0_3_0.0_1_MAE_1_500_basis_pca_T_1_0_0
Fredformer,96,ECL,0.001,0.001,0.1,0.2,0.8,0.5,TST,100,5,32,64,500,1,0.0,3,5.0,MAE,1,basis,pca,T,1,0,1,0.14380225539207458,0.23693762719631195,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ECL_96_0.2_0.8_0.001_0.001_0.1_TST_100_5_32_64_0.5_5.0_3_0.0_1_MAE_1_500_basis_pca_T_1_0_1
Fredformer,96,ECL,0.001,0.001,0.1,0.2,0.8,0.5,TST,100,5,32,64,700,1,0.0,3,5.0,MAE,1,basis,pca,T,1,0,0,0.14539851248264313,0.24017420411109924,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ECL_96_0.2_0.8_0.001_0.001_0.1_TST_100_5_32_64_0.5_5.0_3_0.0_1_MAE_1_700_basis_pca_T_1_0_0
Fredformer,96,ECL,0.001,0.001,0.1,0.2,0.8,0.5,TST,100,5,32,64,700,1,0.0,3,5.0,MAE,1,basis,pca,T,1,0,1,0.14495666325092316,0.23722223937511444,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ECL_96_0.2_0.8_0.001_0.001_0.1_TST_100_5_32_64_0.5_5.0_3_0.0_1_MAE_1_700_basis_pca_T_1_0_1
Fredformer,96,ECL,0.001,0.001,0.1,0.2,0.8,1.0,TST,100,5,32,64,300,1,0.0,3,5.0,MAE,1,basis,pca,T,1,0,0,0.14508099853992462,0.2392716407775879,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ECL_96_0.2_0.8_0.001_0.001_0.1_TST_100_5_32_64_1.0_5.0_3_0.0_1_MAE_1_300_basis_pca_T_1_0_0
Fredformer,96,ECL,0.001,0.001,0.1,0.2,0.8,1.0,TST,100,5,32,64,300,1,0.0,3,5.0,MAE,1,basis,pca,T,1,0,1,0.14516504108905792,0.2384657859802246,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ECL_96_0.2_0.8_0.001_0.001_0.1_TST_100_5_32_64_1.0_5.0_3_0.0_1_MAE_1_300_basis_pca_T_1_0_1
Fredformer,96,ECL,0.001,0.001,0.1,0.2,0.8,1.0,TST,100,5,32,64,500,1,0.0,3,5.0,MAE,1,basis,pca,T,1,0,0,0.1440879851579666,0.23789721727371216,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ECL_96_0.2_0.8_0.001_0.001_0.1_TST_100_5_32_64_1.0_5.0_3_0.0_1_MAE_1_500_basis_pca_T_1_0_0
Fredformer,96,ECL,0.001,0.001,0.1,0.2,0.8,1.0,TST,100,5,32,64,500,1,0.0,3,5.0,MAE,1,basis,pca,T,1,0,1,0.14333653450012207,0.23565611243247986,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ECL_96_0.2_0.8_0.001_0.001_0.1_TST_100_5_32_64_1.0_5.0_3_0.0_1_MAE_1_500_basis_pca_T_1_0_1
Fredformer,96,ECL,0.001,0.001,0.1,0.2,0.8,1.0,TST,100,5,32,64,700,1,0.0,3,5.0,MAE,1,basis,pca,T,1,0,0,0.14424969255924225,0.23783420026302338,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ECL_96_0.2_0.8_0.001_0.001_0.1_TST_100_5_32_64_1.0_5.0_3_0.0_1_MAE_1_700_basis_pca_T_1_0_0
Fredformer,96,ECL,0.001,0.001,0.1,0.2,0.8,1.0,TST,100,5,32,64,700,1,0.0,3,5.0,MAE,1,basis,pca,T,1,0,1,0.14299947023391724,0.23516876995563507,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ECL_96_0.2_0.8_0.001_0.001_0.1_TST_100_5_32_64_1.0_5.0_3_0.0_1_MAE_1_700_basis_pca_T_1_0_1
Fredformer,96,ECL,0.01,0.01,0.1,0.2,0.8,0.5,TST,100,5,32,64,300,1,0.0,3,5.0,MAE,1,basis,pca,T,1,0,0,0.17210155725479126,0.27029168605804443,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ECL_96_0.2_0.8_0.01_0.01_0.1_TST_100_5_32_64_0.5_5.0_3_0.0_1_MAE_1_300_basis_pca_T_1_0_0
