model,pred_len,data_id,mse,mae,learning_rate,inner_lr,meta_lr,auxi_loss,rec_lambda,auxi_lambda,rank_ratio,lradj,train_epochs,patience,batch_size,auxi_batch_size,warmup_steps,meta_inner_steps,overlap_ratio,num_tasks,max_norm,first_order,auxi_mode,auxi_type,pca_dim,reinit,use_weights,sample_attn,exp_dir
Fredformer,96,ETTh1,0.36759549379348755,0.39137938618659973,0.001,0.001,0.2,MAE,0.0,1.0,1.0,type3,100,10,128,64,500,1,0.0,3,5.0,1,basis,pca,T,1,0,1,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ETTh1_96_0.0_1.0_0.001_0.001_0.2_type3_100_10_128_64_1.0_5.0_3_0.0_1_MAE_1_500_basis_pca_T_1_0_1
Fredformer,192,ETTh1,0.4141930043697357,0.42062684893608093,0.001,0.001,0.2,MAE,0.0,1.0,0.9,type3,100,10,128,64,300,1,0.0,3,5.0,1,basis,pca,T,1,0,1,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ETTh1_192_0.0_1.0_0.001_0.001_0.2_type3_100_10_128_64_0.9_5.0_3_0.0_1_MAE_1_300_basis_pca_T_1_0_1
Fredformer,336,ETTh1,0.45938780903816223,0.43994560837745667,0.001,0.001,0.2,MAE,0.0,1.0,1.0,type3,100,10,128,64,500,1,0.0,3,5.0,1,basis,pca,T,1,0,1,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ETTh1_336_0.0_1.0_0.001_0.001_0.2_type3_100_10_128_64_1.0_5.0_3_0.0_1_MAE_1_500_basis_pca_T_1_0_1
Fredformer,720,ETTh1,0.4643898010253906,0.46111854910850525,0.001,0.001,0.2,MAE,0.0,1.0,1.0,type3,100,10,128,64,500,1,0.0,3,5.0,1,basis,pca,T,1,0,1,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ETTh1_720_0.0_1.0_0.001_0.001_0.2_type3_100_10_128_64_1.0_5.0_3_0.0_1_MAE_1_500_basis_pca_T_1_0_1
Fredformer,96,ETTh2,0.2803662121295929,0.3301394581794739,0.0005,0.0005,0.2,MAE,0.0,1.0,1.0,type3,100,10,128,64,700,1,0.0,3,5.0,1,basis,pca,T,1,0,1,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ETTh2_96_0.0_1.0_0.0005_0.0005_0.2_type3_100_10_128_64_1.0_5.0_3_0.0_1_MAE_1_700_basis_pca_T_1_0_1
Fredformer,192,ETTh2,0.35733163356781006,0.3797237277030945,0.0002,0.0002,0.2,MAE,0.0,1.0,0.6,type3,100,10,128,64,300,1,0.0,3,5.0,1,basis,pca,T,1,0,1,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ETTh2_192_0.0_1.0_0.0002_0.0002_0.2_type3_100_10_128_64_0.6_5.0_3_0.0_1_MAE_1_300_basis_pca_T_1_0_1
Fredformer,336,ETTh2,0.3898526430130005,0.41133415699005127,0.0002,0.0002,0.2,MAE,0.3,0.7,1.0,type3,100,10,128,64,300,1,0.0,3,5.0,1,basis,pca,T,1,0,1,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ETTh2_336_0.3_0.7_0.0002_0.0002_0.2_type3_100_10_128_64_1.0_5.0_3_0.0_1_MAE_1_300_basis_pca_T_1_0_1
Fredformer,720,ETTh2,0.39834800362586975,0.4252345860004425,0.0005,0.0005,0.2,MAE,0.0,1.0,0.8,type3,100,10,128,64,700,1,0.0,3,5.0,1,basis,pca,T,1,0,1,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ETTh2_720_0.0_1.0_0.0005_0.0005_0.2_type3_100_10_128_64_0.8_5.0_3_0.0_1_MAE_1_700_basis_pca_T_1_0_1
Fredformer,96,ETTm1,0.3202857971191406,0.35713106393814087,0.0005,0.0005,0.1,MAE,0.6,0.4,0.8,TST,100,10,128,64,300,1,0.0,3,5.0,1,basis,pca,T,1,0,1,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ETTm1_96_0.6_0.4_0.0005_0.0005_0.1_TST_100_10_128_64_0.8_5.0_3_0.0_1_MAE_1_300_basis_pca_T_1_0_1
Fredformer,192,ETTm1,0.36063888669013977,0.37868043780326843,0.0005,0.0005,0.1,MAE,0.2,0.8,0.8,TST,100,10,128,64,700,1,0.0,3,5.0,1,basis,pca,T,1,0,1,/mnt/tidalfs-bdsz01/dataset/llm_dataset/plc_data/TransDF/results/meta_tune/Fredformer_ETTm1_192_0.2_0.8_0.0005_0.0005_0.1_TST_100_10_128_64_0.8_5.0_3_0.0_1_MAE_1_700_basis_pca_T_1_0_1
